,crh1,crh2,crh3,crh4,crh5,crh6,crh7,crh8,crh9,crh10,rf1,rf2,rf3,rf4,rf5,rf6,rf7,rf8,rf9,rf10
177,18.0,23.0,18.0,21.0,28.0,30.0,34.0,47.0,30.0,32.0,8.490001,16.605,17.195002,4.9149995,81.585,32.700005,9.634999,174.32997,20.22,5.6149993
178,2.0,13.0,8.0,28.0,35.0,22.0,34.0,0.0,13.0,37.0,3.29,26.125,8.13,46.114994,58.574997,13.719999,17.390001,0.0,14.190001,34.229996
179,47.0,33.0,5.0,13.0,13.0,11.0,11.0,13.0,18.0,17.0,111.45,124.83501,0.77499986,3.875,2.7799997,1.8449998,10.17,13.785,24.824997,13.959999
180,1.0,6.0,3.0,6.0,16.0,3.0,4.0,0.0,19.0,43.0,0.105000004,0.9499999,0.71999997,4.58,14.684999,0.425,2.43,0.0,39.089996,170.015
181,32.0,27.0,28.0,22.0,4.0,17.0,26.0,16.0,12.0,21.0,19.484999,16.72,19.425,14.725,1.95,2.835,21.88,8.079999,6.2849994,16.904999
182,25.0,10.0,19.0,19.0,36.0,33.0,15.0,7.0,15.0,15.0,16.504997,0.91999996,5.9249997,5.925001,23.97,12.035,6.5549994,1.4700001,6.7799997,3.725
183,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,6.49,15.544998,0.0
184,18.0,22.0,8.0,3.0,6.0,17.0,13.0,0.0,13.0,6.0,5.535,15.559998,1.155,1.265,1.8499999,4.165,3.3599997,0.0,2.5799997,0.58
185,8.0,3.0,6.0,17.0,13.0,0.0,13.0,6.0,10.0,18.0,1.155,1.265,1.8499999,4.165,3.3599997,0.0,2.5799997,0.58,3.7299995,17.924995
186,5.0,4.0,6.0,1.0,0.0,0.0,0.0,8.0,11.0,4.0,0.21000001,0.7,0.85,0.25,0.0,0.0,0.0,9.690001,38.654995,1.4499999
187,18.0,8.0,9.0,12.0,23.0,21.0,14.0,8.0,19.0,38.0,2.1399999,0.48499998,1.14,5.21,6.9849997,12.765,1.7749999,2.4350002,12.414999,18.495003
188,4.0,0.0,13.0,40.0,13.0,7.0,0.0,6.0,21.0,38.0,1.9750001,0.0,3.3449998,42.909996,20.980001,11.844999,0.0,4.71,57.53,39.595
189,13.0,7.0,0.0,6.0,21.0,38.0,9.0,8.0,22.0,36.0,20.980001,11.844999,0.0,4.71,57.53,39.595,4.2799997,5.39,23.95,34.160004
190,11.0,7.0,1.0,9.0,17.0,11.0,10.0,8.0,36.0,33.0,4.0,4.84,0.74,15.014999,40.600002,2.0899997,11.32,5.2499995,58.845,18.764997
191,6.0,1.0,1.0,8.0,18.0,27.0,16.0,27.0,33.0,26.0,0.78499997,0.305,0.28,9.87,10.695,7.6400003,22.6,29.080004,66.435005,16.17
192,41.0,35.0,30.0,0.0,0.0,3.0,24.0,35.0,24.0,26.0,45.05,26.87,40.260002,0.0,0.0,0.32,34.87,12.605,51.855,36.319996
193,48.0,22.0,27.0,10.0,3.0,8.0,22.0,31.0,26.0,21.0,27.55,5.2699995,12.684999,1.47,1.0,0.48,13.625001,25.774998,17.589998,32.020004
194,3.0,23.0,18.0,15.0,10.0,13.0,9.0,23.0,9.0,16.0,1.7349999,96.600006,5.8099995,4.91,1.4349998,10.285001,2.01,34.344997,9.42,7.5149994
195,2.0,23.0,6.0,12.0,6.0,8.0,6.0,25.0,11.0,15.0,1.6800001,41.070004,1.135,2.195,0.75,6.2999997,1.4599999,51.25,11.380001,8.259999
